ARNT	ENSG00000128683
E2F4	ENSG00000136997
CTCF	ENSG00000144724
STAT3	ENSG00000136997
NRF1	ENSG00000129245
IRF3	ENSG00000120833
RB1	ENSG00000101412
USF2	ENSG00000164362
HDAC2	ENSG00000167085
ATF2	ENSG00000115414
ARNT	ENSG00000170345
STAT1	ENSG00000075239
ETS1	ENSG00000182866
BRCA1	ENSG00000134363
TBP	ENSG00000136997
YY1	ENSG00000116016
ETS1	ENSG00000135679
NFYB	ENSG00000134324
JUNB	ENSG00000085117
RUNX3	ENSG00000153487
EP300	ENSG00000138061
MEF2A	ENSG00000111775
STAT1	ENSG00000125347
CREM	ENSG00000120875
STAT3	ENSG00000263528
ELK1	ENSG00000164442
ETV6	ENSG00000148935
JUND	ENSG00000116717
RXRA	ENSG00000075651
STAT3	ENSG00000130816
BRCA1	ENSG00000175197
NRF1	ENSG00000126247
CTCF	ENSG00000110092
NFYB	ENSG00000165702
STAT3	ENSG00000089127
NFATC1	ENSG00000185591
TBP	ENSG00000089280
